Date,A,AAPL,ABNB,ADBE,AEE,AEP,AES,AFL,ALLE,AMCR,AMD,AMT,AMZN,AOS,APD,ARE,AWK,BRK-B,GOOG,GS,JPM,LLY,LNT,MMM,MRK,MSFT,NFLX,NVDA,TSLA,UBS,XOM
2023-11-13,107.45999908447266,184.8000030517578,119.1500015258789,590.3400268554688,74.77999877929688,75.0199966430664,15.539999961853027,81.43000030517578,103.2300033569336,8.949999809265137,116.79000091552734,183.6199951171875,142.58999633789062,73.37999725341797,265.0299987792969,94.30999755859375,121.79000091552734,350.010009765625,133.63999938964844,326.9100036621094,145.77999877929688,612.7100219726562,47.61000061035156,77.5,102.47000122070312,366.67999267578125,444.6199951171875,48.619998931884766,223.7100067138672,24.110000610351562,104.83999633789062
2023-11-14,111.61000061035156,187.44000244140625,126.68000030517578,604.3300170898438,77.3499984741211,77.41000366210938,16.940000534057617,81.81999969482422,105.93000030517578,9.260000228881836,119.87999725341797,194.1999969482422,145.8000030517578,76.0199966430664,268.4100036621094,105.31999969482422,129.74000549316406,354.25,135.42999267578125,338.7200012207031,148.44000244140625,610.8200073242188,49.119998931884766,79.40635681152344,102.16999816894531,370.2699890136719,448.6499938964844,49.65599822998047,237.41000366210938,24.889999389648438,104.29000091552734
2023-11-15,113.5999984741211,188.00999450683594,128.35000610351562,595.3099975585938,77.68000030517578,76.52999877929688,17.010000228881836,80.41999816894531,106.66999816894531,9.350000381469727,118.0,195.8800048828125,143.1999969482422,75.0,273.6199951171875,105.70999908447266,130.4499969482422,356.7900085449219,136.3800048828125,337.6000061035156,149.74000549316406,588.5399780273438,49.31999969482422,80.95317840576172,101.3499984741211,369.6700134277344,461.94000244140625,48.88800048828125,242.83999633789062,25.459999084472656,103.66000366210938
2023-11-16,114.19000244140625,189.7100067138672,126.27999877929688,602.0599975585938,76.77999877929688,77.37999725341797,16.90999984741211,81.11000061035156,105.94999694824219,9.279999732971191,119.83000183105469,199.11000061035156,142.8300018310547,75.63999938964844,273.6000061035156,103.80999755859375,130.99000549316406,359.8599853515625,138.6999969482422,336.6700134277344,151.4499969482422,588.75,49.47999954223633,80.02508544921875,101.98999786376953,376.1700134277344,466.95001220703125,49.47999954223633,233.58999633789062,25.440000534057617,102.45999908447266
2023-11-17,113.1500015258789,189.69000244140625,127.1500015258789,602.6599731445312,77.12000274658203,77.38999938964844,17.010000228881836,81.7699966430664,106.3499984741211,9.369999885559082,120.62000274658203,197.74000549316406,145.17999267578125,76.37999725341797,269.989990234375,103.72000122070312,132.10000610351562,358.92999267578125,136.94000244140625,339.19000244140625,152.82000732421875,591.7100219726562,49.22999954223633,79.7157211303711,101.75,369.8500061035156,465.9100036621094,49.29800033569336,234.3000030517578,26.190000534057617,104.95999908447266
2023-11-20,113.9800033569336,191.4499969482422,129.6999969482422,612.7000122070312,76.81999969482422,77.19000244140625,17.209999084472656,81.16999816894531,105.73999786376953,9.369999885559082,121.52999877929688,199.63999938964844,146.1300048828125,76.11000061035156,272.1499938964844,104.4800033569336,130.6699981689453,361.3299865722656,137.9199981689453,339.45001220703125,153.2899932861328,597.5999755859375,49.11000061035156,79.41471862792969,102.68000030517578,377.44000244140625,474.4700012207031,50.409000396728516,235.60000610351562,26.209999084472656,104.5
2023-11-21,123.91999816894531,190.63999938964844,126.81999969482422,610.989990234375,76.69999694824219,78.04000091552734,16.739999771118164,81.9000015258789,104.16000366210938,9.239999771118164,119.16000366210938,197.5399932861328,143.89999389648438,75.87000274658203,276.3399963378906,103.7699966430664,130.8300018310547,361.0,138.6199951171875,334.9700012207031,152.97000122070312,592.5999755859375,49.09000015258789,78.58695983886719,102.20999908447266,373.07000732421875,474.95001220703125,49.944000244140625,241.1999969482422,25.940000534057617,104.45999908447266
2023-11-22,123.98999786376953,191.30999755859375,129.0399932861328,619.719970703125,77.0,78.25,16.90999984741211,82.43000030517578,104.66999816894531,9.279999732971191,122.51000213623047,198.7899932861328,146.7100067138672,75.87999725341797,274.2699890136719,104.58999633789062,130.47000122070312,361.79998779296875,140.02000427246094,338.6400146484375,153.3300018310547,595.0900268554688,49.540000915527344,79.74080657958984,101.68000030517578,377.8500061035156,478.0,48.715999603271484,234.2100067138672,26.09000015258789,104.01000213623047
2023-11-24,126.62000274658203,189.97000122070312,128.3699951171875,619.4299926757812,77.16999816894531,78.5,16.93000030517578,82.94000244140625,105.04000091552734,9.359999656677246,122.30999755859375,199.32000732421875,146.74000549316406,76.01000213623047,274.5,105.18000030517578,132.05999755859375,362.67999267578125,138.22000122070312,339.1499938964844,153.5399932861328,601.0999755859375,49.75,80.22575378417969,101.87000274658203,377.42999267578125,479.55999755859375,47.7760009765625,235.4499969482422,26.329999923706055,104.56999969482422
2023-11-27,125.01000213623047,189.7899932861328,129.0,619.27001953125,77.45999908447266,78.54000091552734,16.90999984741211,82.97000122070312,104.1500015258789,9.350000381469727,122.6500015258789,201.2100067138672,147.72999572753906,75.95999908447266,271.6700134277344,105.0199966430664,130.75,361.3399963378906,138.0500030517578,337.7099914550781,153.19000244140625,591.530029296875,49.959999084472656,81.1622085571289,101.43000030517578,378.6099853515625,479.1700134277344,48.242000579833984,236.0800018310547,26.18000030517578,103.95999908447266
2023-11-28,124.70999908447266,190.39999389648438,127.55999755859375,623.3200073242188,77.8499984741211,79.7300033569336,17.170000076293945,82.18000030517578,104.12000274658203,9.300000190734863,122.01000213623047,203.22000122070312,147.02999877929688,75.12000274658203,268.3999938964844,107.72000122070312,130.66000366210938,360.04998779296875,138.6199951171875,337.6499938964844,153.5399932861328,591.5999755859375,50.119998931884766,82.36621856689453,100.18000030517578,382.70001220703125,479.0,47.82099914550781,246.72000122070312,26.299999237060547,103.9000015258789
2023-11-29,127.58999633789062,189.3699951171875,126.4800033569336,617.3900146484375,76.98999786376953,79.22000122070312,17.219999313354492,81.62999725341797,104.58999633789062,9.489999771118164,123.8499984741211,206.17999267578125,146.32000732421875,75.0999984741211,266.4800109863281,109.01000213623047,131.22000122070312,358.69000244140625,136.39999389648438,340.260009765625,154.32000732421875,591.8599853515625,49.939998626708984,82.33277893066406,101.12999725341797,378.8500061035156,477.19000244140625,48.13999938964844,244.13999938964844,27.350000381469727,102.33999633789062
2023-11-30,127.80000305175781,189.9499969482422,126.33999633789062,611.010009765625,77.58999633789062,79.55000305175781,17.209999084472656,82.70999908447266,106.08999633789062,9.479999542236328,121.16000366210938,208.77999877929688,146.08999633789062,75.36000061035156,270.54998779296875,109.4000015258789,131.83999633789062,360.0,133.9199981689453,341.5400085449219,156.0800018310547,591.0399780273438,50.56999969482422,82.8344497680664,102.4800033569336,378.9100036621094,473.9700012207031,46.77000045776367,240.0800018310547,28.25,102.73999786376953
2023-12-01,128.7899932861328,191.24000549316406,135.02000427246094,612.469970703125,78.97000122070312,80.51000213623047,18.1299991607666,82.61000061035156,108.69000244140625,9.5600004196167,121.38999938964844,210.47000122070312,147.02999877929688,76.73999786376953,272.6400146484375,118.13999938964844,133.24000549316406,357.07000732421875,133.32000732421875,348.42999267578125,156.83999633789062,584.0399780273438,51.4900016784668,83.48662567138672,103.45999908447266,374.510009765625,465.739990234375,46.76499938964844,238.8300018310547,28.68000030517578,102.98999786376953
2023-12-04,128.8800048828125,189.42999267578125,133.6999969482422,604.5599975585938,78.52999877929688,80.12999725341797,17.979999542236328,82.7300033569336,107.05000305175781,9.479999542236328,118.56999969482422,208.72999572753906,144.83999633789062,77.08999633789062,270.1499938964844,119.88999938964844,133.13999938964844,356.6600036621094,130.6300048828125,349.3900146484375,157.99000549316406,585.6799926757812,51.400001525878906,86.48829650878906,105.05999755859375,369.1400146484375,453.8999938964844,45.5099983215332,235.5800018310547,28.420000076293945,102.43000030517578
2023-12-05,127.87999725341797,193.4199981689453,133.7100067138672,602.219970703125,77.72000122070312,79.30999755859375,17.940000534057617,82.61000061035156,105.5199966430664,9.369999885559082,118.37999725341797,210.41000366210938,146.8800048828125,76.30999755859375,262.0199890136719,119.70999908447266,131.3800048828125,355.0299987792969,132.38999938964844,341.75,157.97000122070312,588.1500244140625,51.25,85.02508544921875,106.2300033569336,372.5199890136719,455.1499938964844,46.566001892089844,238.72000122070312,27.719999313354492,100.44000244140625
2023-12-06,128.91000366210938,192.32000732421875,135.30999755859375,595.7000122070312,79.08999633789062,80.36000061035156,17.940000534057617,81.7300033569336,105.12999725341797,9.40999984741211,116.81999969482422,210.75999450683594,144.52000427246094,77.27999877929688,261.2799987792969,121.83000183105469,132.6999969482422,352.3800048828125,131.42999267578125,341.9700012207031,156.30999755859375,589.25,52.099998474121094,85.94481658935547,105.62999725341797,368.79998779296875,446.7300109863281,45.50299835205078,239.3699951171875,27.829999923706055,99.11000061035156
2023-12-07,128.67999267578125,194.27000427246094,139.83999633789062,608.780029296875,78.7300033569336,80.19999694824219,18.170000076293945,82.0,105.08999633789062,9.640000343322754,128.3699951171875,210.72000122070312,146.8800048828125,78.01000213623047,262.010009765625,121.95999908447266,132.5500030517578,352.70001220703125,138.4499969482422,344.6199951171875,156.7899932861328,588.27001953125,51.81999969482422,86.3545150756836,103.87999725341797,370.95001220703125,452.0,46.59600067138672,242.63999938964844,28.170000076293945,98.41999816894531
2023-12-08,127.19999694824219,195.7100067138672,140.67999267578125,610.010009765625,78.0199966430664,79.63999938964844,18.219999313354492,82.55000305175781,110.33999633789062,9.649999618530273,128.9199981689453,206.4499969482422,147.4199981689453,77.98999786376953,263.2699890136719,119.44000244140625,131.35000610351562,353.0799865722656,136.63999938964844,350.8299865722656,158.52000427246094,598.0499877929688,51.380001068115234,86.42976379394531,103.75,374.2300109863281,453.760009765625,47.50600051879883,243.83999633789062,28.510000228881836,99.55000305175781
2023-12-11,128.97000122070312,193.17999267578125,142.91000366210938,625.2000122070312,78.18000030517578,80.48999786376953,18.049999237060547,83.11000061035156,109.77999877929688,9.569999694824219,134.41000366210938,205.60000610351562,145.88999938964844,78.04000091552734,264.55999755859375,119.44000244140625,130.7100067138672,357.05999755859375,134.6999969482422,351.760009765625,159.10000610351562,584.0399780273438,51.5099983215332,86.25418090820312,104.37000274658203,371.29998779296875,459.8900146484375,46.62699890136719,239.74000549316406,28.479999542236328,99.62000274658203
2023-12-12,128.7899932861328,194.7100067138672,140.5500030517578,633.6599731445312,77.95999908447266,80.0,18.209999084472656,84.3499984741211,109.75,9.4399995803833,137.61000061035156,205.0500030517578,147.47999572753906,79.4800033569336,267.3399963378906,116.94000244140625,131.02999877929688,360.0199890136719,133.63999938964844,352.6099853515625,160.52000427246094,584.760009765625,51.38999938964844,85.75251007080078,104.36000061035156,374.3800048828125,463.0,47.65700149536133,237.00999450683594,28.549999237060547,98.05000305175781
